Date,daylight_hours
2019-01-31,7.97
2019-02-28,9.46
2019-03-31,11.39
2019-04-30,13.4
2019-05-31,15.16
2019-06-30,16.0
2019-07-31,15.61
2019-08-31,14.06
2019-09-30,12.17
2019-10-31,10.16
2019-11-30,8.4
2019-12-31,7.23
2020-01-31,7.94
2020-02-29,11.95
2020-03-31,11.42
2020-04-30,13.43
2020-05-31,15.19
2020-06-30,16.0
2020-07-31,15.61
2020-08-31,14.0
2020-09-30,12.1
2020-10-31,10.13
2020-11-30,8.4
2020-12-31,7.23
2021-01-31,8.0
2021-02-28,9.5
2021-03-31,11.39
2021-04-30,13.43
2021-05-31,15.16
2021-06-30,16.0
2021-07-31,15.61
2021-08-31,14.03
2021-09-30,12.1
2021-10-31,10.16
2021-11-30,8.4
2021-12-31,7.23
